"response_id","country_of_residence","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","single_or_others","no_people_over_15","no_people_under_15","age_range","reasons_for_travel_secondary","satisfaction_rating","expectation_rating","recommend_rating","satisfaction_reason"
"GEN24_1072804","Austria","Rest of Europe","Male","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"30 - 34","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","Lord of the rings"
"GEN24_1072894","United States of America","USA","Female","Yes","Holiday / vacation","For a working holiday","What the visit to NZ cost just for yourself",NA,NA,"50 - 54","Conference / convention","1 - Very dissatisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Waiheke day trip, Rangitoto day trip, Tea Puia, Hells Gate, Redwoods tree Climb"
"GEN24_1072898","Finland","Rest of Europe","Female","Yes","Holiday / vacation","For your honeymoon","What the visit cost for you and another person / people",2,0,"50 - 54","No other reason","4 - Satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","7","filming locations"
"GEN24_1072926","Australia","Australia","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",1,1,"35 - 39","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Adventure activities"
"GEN24_1072973","Australia","Australia","Male","Yes","Holiday / vacation","For a working holiday","What the visit to NZ cost just for yourself",NA,NA,"25 - 29","Business","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Endemic wildlife"
"GEN24_1073068","Australia","Australia","Male","No","Holiday / vacation","For some other reason (please specify)","What the visit to NZ cost just for yourself",NA,NA,"70 - 74","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","Cycle trails"
"GEN24_1073133","Australia","Australia","Male","No","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"60 - 64","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Rail trail"
"GEN24_1073184","Australia","Australia","Female","No","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"55 - 59","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","cycle hire and cycle trails"
"GEN24_1073625","United States of America","USA","Male","Yes","Holiday / vacation","For some other reason (please specify)","What the visit to NZ cost just for yourself",NA,NA,"45 - 49","VFR","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Birds & other wildlife."
"GEN24_1073629","United States of America","USA","Female","Yes","Holiday / vacation","For some special event or occasion (non-sport-related)","What the visit cost for you and another person / people",2,0,"30 - 34","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Hobbiton"
"GEN24_1074224","Scotland","UK","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"55 - 59","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Wildlife"
"GEN24_1074237","Hong Kong (Special Administrative Region)","Rest of Asia","Female","Yes","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",5,0,"40 - 44","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","極限運動"
"GEN24_1074324","Germany","Germany","Female","Yes","Holiday / vacation","As an incentive trip as a reward for good work or sales","What the visit to NZ cost just for yourself",NA,NA,"20 - 24","No other reason","1 - Very dissatisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","activities"
"GEN24_1074373","Germany","Germany","Male","Yes","Visiting friends / relatives","To visit family","What the visit cost for you and another person / people",2,0,"25 - 29","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Freedom Camping"
"GEN24_1075135","United States of America","USA","Female","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"45 - 49","VFR","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","The immaculately clean public bathrooms !"
"GEN24_1075145","Australia","Australia","Male","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"25 - 29","Other","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Luge, jetboatinh"
"GEN24_1075408","Taiwan","Rest of Asia","Male","Yes","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",4,0,"55 - 59","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","電影拍攝地"
"GEN24_1075451","Australia","Australia","Female","No","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"40 - 44","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Luge, mud pools, hot water beach, cathedral cove, rotorua, bungee, jet boat"
"GEN24_1075610","Australia","Australia","Female","Yes","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"55 - 59","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Our AATKings tour experience which gave us such excellent access to the south islands beauty"
"GEN24_1075622","Hong Kong (Special Administrative Region)","Rest of Asia","Male","Yes","Visiting friends / relatives","To visit friends","What the visit to NZ cost just for yourself",NA,NA,"35 - 39","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Easy to get around but the piblic transport is limited., but drivers are very helpful and friendly."
"GEN24_1075855","Australia","Australia","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"30 - 34","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Skydiving"
"GEN24_1076164","Australia","Australia","Male","No","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"70 - 74","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Mountain Biking"
"GEN24_1076323","Fiji","Rest of Oceania","Male","No","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"55 - 59","Education","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7","Tours"
"GEN24_1076601","Australia","Australia","Male","No","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"70 - 74","VFR","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Hobbiton"
